understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
26987,227,Barcelona,Robert Lewandowski,50,102.38,35.09,0.9051,Goal,Right Foot,Open Play,a,Rebound,Lamine Yamal,2024,understat
26987,11527,Barcelona,Lamine Yamal,45,94.4,31.35,0.4331,Saved,Right Foot,Open Play,a,BallTouch,Raphinha,2024,understat
26987,227,Barcelona,Robert Lewandowski,48,92.92,34.0,0.7433,Goal,Right Foot,Penalty,a,Standard,,2024,understat
26987,6441,Barcelona,Ferrán Torres,56,91.88,42.43,0.2973,Saved,Left Foot,Open Play,a,Pass,Lamine Yamal,2024,understat
26987,227,Barcelona,Robert Lewandowski,69,92.5,31.69,0.1241,Blocked,Left Foot,Open Play,a,Pass,Marc Casadó,2024,understat
26987,2484,Barcelona,Iñigo Martínez,70,95.76,34.0,0.0423,Blocked,Head,From Corner,a,Aerial,Raphinha,2024,understat
26987,11151,Barcelona,Marc Casadó,71,80.01,23.26,0.0135,Blocked,Right Foot,From Corner,a,Aerial,,2024,understat
26987,8935,Barcelona,Pedri,84,78.43,26.72,0.0279,Off T,Right Foot,Open Play,a,Pass,Raphinha,2024,understat
26987,11151,Barcelona,Marc Casadó,90,95.34,33.32,0.3763,Off T,Left Foot,Open Play,a,Cross,Gerard Martín,2024,understat
26987,227,Barcelona,Robert Lewandowski,93,93.03,40.32,0.1158,Off T,Left Foot,Open Play,a,Pass,Pau Victor,2024,understat
26988,6227,Real Sociedad,Brais Méndez,11,94.29,30.87,0.092,Off T,Head,Open Play,h,Cross,Sheraldo Becker,2024,understat
26988,9465,Real Sociedad,Beñat Turrientes,17,80.32,29.78,0.0277,Saved,Right Foot,Open Play,h,Pass,Brais Méndez,2024,understat
26988,7882,Real Sociedad,Sheraldo Becker,24,95.34,41.34,0.124,Saved,Left Foot,Open Play,h,Dispossessed,,2024,understat
26988,2234,Real Sociedad,Mikel Oyarzabal,25,101.32,38.76,0.1452,Blocked,Head,Open Play,h,Cross,Sheraldo Becker,2024,understat
26988,2228,Real Sociedad,Aritz Elustondo,29,101.32,29.65,0.3648,Off T,Head,From Corner,h,None,,2024,understat
26988,2234,Real Sociedad,Mikel Oyarzabal,52,85.68,39.64,0.0371,Blocked,Left Foot,Open Play,h,Pass,Aritz Elustondo,2024,understat
26988,6227,Real Sociedad,Brais Méndez,52,91.98,32.57,0.367,Saved,Left Foot,Open Play,h,Rebound,,2024,understat
26988,7882,Real Sociedad,Sheraldo Becker,53,88.52,20.06,0.0503,Off T,Right Foot,Open Play,h,Pass,Takefusa Kubo,2024,understat
26988,8413,Real Sociedad,Javier López,60,84.52,44.34,0.0243,Off T,Left Foot,From Corner,h,None,,2024,understat
26988,7526,Real Sociedad,Martín Zubimendi,76,86.2,34.2,0.0422,Off T,Left Foot,Open Play,h,HeadPass,Ander Barrenetxea,2024,understat
26988,7526,Real Sociedad,Martín Zubimendi,97,92.4,32.98,0.305,Goal,Left Foot,Open Play,h,None,,2024,understat
26988,7515,Rayo Vallecano,Andrei Ratiu,0,99.75,27.68,0.4185,Blocked,Right Foot,Open Play,a,None,,2024,understat
26988,9812,Rayo Vallecano,Isi Palazón,0,76.44,20.4,0.0176,Blocked,Left Foot,From Corner,a,Pass,Unai López,2024,understat
26988,8733,Rayo Vallecano,Alfonso Espino,0,70.35,36.65,0.0123,Off T,Left Foot,From Corner,a,Rebound,,2024,understat
26988,2166,Rayo Vallecano,Adrián Embarba,10,90.2,51.07,0.0291,Off T,Right Foot,Open Play,a,Pass,Randy Nteka,2024,understat
26988,9812,Rayo Vallecano,Isi Palazón,33,75.39,30.26,0.0152,Off T,Left Foot,Open Play,a,BallTouch,,2024,understat
26988,5073,Rayo Vallecano,Florian Lejeune,37,73.18,30.26,0.0411,Saved,Right Foot,Direct Freekick,a,Standard,,2024,understat
26988,5073,Rayo Vallecano,Florian Lejeune,39,96.39,34.2,0.051,Blocked,Head,From Corner,a,Aerial,Isi Palazón,2024,understat
26988,7515,Rayo Vallecano,Andrei Ratiu,39,96.92,36.45,0.0523,Off T,Head,From Corner,a,Aerial,Isi Palazón,2024,understat
26988,8733,Rayo Vallecano,Alfonso Espino,61,76.55,39.78,0.0126,Blocked,Left Foot,Open Play,a,None,,2024,understat
26988,2609,Rayo Vallecano,Gerard Gumbau,64,90.4,32.78,0.3846,Saved,Right Foot,Open Play,a,BallRecovery,,2024,understat
26988,8107,Rayo Vallecano,Jorge De Frutos,66,92.4,26.45,0.1944,Goal,Right Foot,Open Play,a,TakeOn,Abdul Mumin,2024,understat
26988,7528,Rayo Vallecano,Sergio Camello,83,91.03,36.31,0.3729,Goal,Left Foot,Open Play,a,Pass,Pathé Ciss,2024,understat
26989,7841,Mallorca,Dani Rodríguez,4,89.88,26.59,0.0687,Off T,Left Foot,Open Play,h,HeadPass,Johan Mojica,2024,understat
26989,10974,Mallorca,Samú Costa,4,83.68,20.4,0.0254,Saved,Left Foot,Open Play,h,Pass,Pablo Maffeo,2024,understat
26989,7841,Mallorca,Dani Rodríguez,36,94.6,40.19,0.0523,Off T,Head,Open Play,h,Cross,Pablo Maffeo,2024,understat
26989,6087,Mallorca,Takuma Asano,41,98.28,49.1,0.0324,Saved,Left Foot,Open Play,h,Pass,Johan Mojica,2024,understat
26989,9002,Mallorca,Vedat Muriqi,41,101.95,38.56,0.5755,Saved,Left Foot,Open Play,h,Rebound,,2024,understat
26989,9002,Mallorca,Vedat Muriqi,52,96.92,30.12,0.2785,Goal,Head,From Corner,h,Cross,Dani Rodríguez,2024,understat
26989,9002,Mallorca,Vedat Muriqi,55,92.08,31.42,0.0209,Saved,Head,Open Play,h,Aerial,Samú Costa,2024,understat
26989,10974,Mallorca,Samú Costa,67,79.48,20.2,0.0157,Off T,Left Foot,Open Play,h,Pass,Vedat Muriqi,2024,understat
26989,6242,Mallorca,Johan Mojica,74,75.18,34.41,0.0143,Off T,Left Foot,From Corner,h,None,,2024,understat
26989,9970,Mallorca,Antonio Sánchez,86,85.89,32.1,0.055,Blocked,Right Foot,Open Play,h,None,,2024,understat
26989,9970,Mallorca,Antonio Sánchez,86,91.03,30.26,0.088,Off T,Right Foot,Open Play,h,Rebound,,2024,understat
26989,9970,Mallorca,Antonio Sánchez,88,89.15,35.43,0.1025,Off T,Left Foot,Open Play,h,None,,2024,understat
26989,8015,Real Madrid,Rodrygo,12,90.51,42.57,0.0677,Goal,Right Foot,Open Play,a,Pass,Vinícius Júnior,2024,understat
26989,8015,Real Madrid,Rodrygo,17,93.66,21.9,0.0916,Saved,Right Foot,Open Play,a,Pass,Vinícius Júnior,2024,understat
26989,1822,Real Madrid,Antonio Rüdiger,20,74.23,29.31,0.0197,Off T,Right Foot,Open Play,a,Pass,Rodrygo,2024,understat
26989,3423,Real Madrid,Kylian Mbappe-Lottin,24,99.96,39.17,0.1419,Off T,Right Foot,Open Play,a,Pass,Vinícius Júnior,2024,understat
26989,7829,Real Madrid,Eder Militão,46,75.39,24.89,0.0195,Blocked,Right Foot,Open Play,a,Pass,Vinícius Júnior,2024,understat
26989,7008,Real Madrid,Vinícius Júnior,60,86.94,49.03,0.0453,Off T,Right Foot,Open Play,a,Pass,Jude Bellingham,2024,understat
26989,3423,Real Madrid,Kylian Mbappe-Lottin,61,92.5,48.01,0.0343,Saved,Right Foot,Open Play,a,Pass,Jude Bellingham,2024,understat
26989,7008,Real Madrid,Vinícius Júnior,63,80.01,27.0,0.0248,Blocked,Left Foot,Open Play,a,Pass,Federico Valverde,2024,understat
26989,3423,Real Madrid,Kylian Mbappe-Lottin,69,98.6,45.63,0.0626,Saved,Left Foot,Open Play,a,None,,2024,understat
26989,3423,Real Madrid,Kylian Mbappe-Lottin,70,89.88,39.37,0.0266,Off T,Right Foot,From Corner,a,Aerial,,2024,understat
