shot_id,match_id,player_id,team_id,minute,x,y,xg,result,shot_type,situation,data_source
22853,1909,508,2,19,92.7200,36.6500,0.4131,Saved,Left Foot,Open Play,understat
22854,1909,508,2,21,93.1300,22.9200,0.0295,Off T,Left Foot,Open Play,understat
22855,1909,510,2,23,79.8000,31.9600,0.0173,Goal,Left Foot,Set Piece,understat
22856,1909,508,2,27,91.3500,19.1100,0.0379,Blocked,Left Foot,From Corner,understat
22857,1909,515,2,36,98.4900,45.1500,0.5011,Post,Right Foot,Open Play,understat
22858,1909,508,2,48,91.2500,32.8400,0.1020,Blocked,Left Foot,Open Play,understat
22859,1909,515,2,56,97.0200,32.8400,0.4488,Post,Head,Set Piece,understat
22860,1909,510,2,61,83.4800,26.4500,0.0266,Off T,Left Foot,Set Piece,understat
22861,1909,515,2,63,96.1800,32.1600,0.3766,Saved,Right Foot,Open Play,understat
22862,1909,515,2,68,78.7500,40.0500,0.0209,Blocked,Right Foot,Open Play,understat
22863,1909,515,2,70,103.8500,40.5300,0.0353,Off T,Head,Open Play,understat
22864,1909,515,2,74,92.9200,31.0800,0.3878,Goal,Left Foot,Open Play,understat
22865,1909,756,7,8,91.0300,48.2100,0.0605,Off T,Right Foot,Open Play,understat
22866,1909,735,7,17,97.3300,38.5600,0.0468,Off T,OtherBodyPart,From Corner,understat
22867,1909,756,7,20,89.5700,48.2100,0.0562,Blocked,Right Foot,Open Play,understat
22868,1909,753,7,41,92.9200,34.0000,0.7433,Goal,Right Foot,Penalty,understat
22869,1909,756,7,65,93.2400,46.5100,0.0501,Off T,Right Foot,Open Play,understat
22870,1909,737,7,84,95.7600,34.0700,0.0583,Off T,Head,Set Piece,understat
22871,1910,463,16,36,79.1700,21.6900,0.0128,Off T,Right Foot,Open Play,understat
22872,1910,471,16,42,79.9000,27.0600,0.0240,Blocked,Left Foot,Open Play,understat
22873,1910,473,16,51,95.0200,39.5100,0.0162,Off T,Head,From Corner,understat
22874,1910,464,16,56,95.0200,38.0800,0.0453,Off T,Head,Open Play,understat
22875,1910,459,16,58,93.2400,17.5400,0.0358,Off T,Right Foot,Open Play,understat
22876,1910,473,16,63,90.4000,37.2600,0.0605,Blocked,Right Foot,Open Play,understat
22877,1910,449,16,82,90.8200,36.0400,0.0111,Off T,Head,Set Piece,understat
22878,1910,467,16,88,85.7800,42.0200,0.0500,Blocked,Left Foot,Open Play,understat
22879,1910,449,16,93,91.7700,38.4900,0.0134,Off T,Head,From Corner,understat
22880,1910,272,22,94,78.0200,29.0400,0.0217,Blocked,Left Foot,Open Play,understat
22881,1911,541,21,4,98.2800,22.7100,0.0918,Off T,Right Foot,Open Play,understat
22882,1911,545,21,40,90.0900,24.4100,0.0558,Off T,Right Foot,Open Play,understat
22883,1911,550,21,48,89.7800,48.2800,0.0308,Saved,Left Foot,Open Play,understat
22884,1911,550,21,55,91.2500,44.0000,0.3219,Off T,Right Foot,Open Play,understat
22885,1911,545,21,55,97.0200,34.4800,0.6299,Blocked,Right Foot,Open Play,understat
22886,1911,541,21,58,94.7100,47.1200,0.0749,Blocked,Right Foot,Open Play,understat
22887,1911,550,21,62,100.5900,40.3900,0.4453,Saved,Right Foot,Open Play,understat
22888,1911,528,21,68,100.2800,43.4500,0.0800,Blocked,Left Foot,Open Play,understat
22889,1911,545,21,70,77.7000,19.9200,0.0150,Blocked,Right Foot,Open Play,understat
22890,1911,550,21,70,91.1400,30.1200,0.0860,Off T,Right Foot,Open Play,understat
22891,1911,528,21,81,77.9100,33.5200,0.0173,Blocked,Left Foot,Open Play,understat
22892,1911,541,21,88,93.5500,32.9800,0.0775,Off T,Right Foot,Open Play,understat
22893,1911,517,21,98,94.4000,34.6800,0.0722,Saved,Head,From Corner,understat
22894,1911,110,6,20,82.2200,38.4900,0.0375,Blocked,Left Foot,Open Play,understat
22895,1911,96,6,20,81.2700,34.8800,0.0359,Off T,Left Foot,Open Play,understat
22896,1911,96,6,26,82.2200,12.1000,0.0388,Saved,Left Foot,Direct Freekick,understat
22897,1911,110,6,47,97.5500,27.7400,0.4446,Off T,Left Foot,Open Play,understat
22898,1911,116,6,49,72.5500,49.5700,0.0144,Saved,Right Foot,Open Play,understat
22899,1911,119,6,79,96.3900,22.4400,0.0617,Goal,Left Foot,Open Play,understat
22900,1912,132,9,29,72.2400,35.5600,0.0158,Blocked,Right Foot,Open Play,understat
22901,1912,150,9,40,72.9700,34.0700,0.0164,Off T,Right Foot,Open Play,understat
22902,1912,155,9,47,101.6400,21.9600,0.0521,Saved,Right Foot,Open Play,understat
22903,1912,150,9,49,79.2800,47.6000,0.0518,Goal,Right Foot,Direct Freekick,understat
22904,1912,155,9,51,90.4000,37.6700,0.1378,Blocked,Left Foot,Open Play,understat
22905,1912,155,9,56,90.0900,36.0400,0.1100,Blocked,Left Foot,Open Play,understat
22906,1912,132,9,57,99.3300,32.5700,0.0828,Blocked,Head,From Corner,understat
22907,1912,155,9,62,94.7100,32.5000,0.1123,Saved,Left Foot,Open Play,understat
22908,1912,155,9,67,87.8800,20.3300,0.0415,Saved,Left Foot,Open Play,understat
22909,1912,157,9,81,88.9300,42.4300,0.0824,Blocked,Right Foot,Open Play,understat
22910,1912,161,9,87,92.5000,42.9800,0.2958,Goal,Left Foot,Open Play,understat
22911,1912,164,9,95,91.1400,24.6200,0.0953,Goal,Right Foot,Open Play,understat
22912,1912,76,10,15,80.7500,46.7200,0.0181,Off T,Right Foot,Open Play,understat
22913,1912,47,10,69,94.6000,37.4700,0.0447,Off T,Head,From Corner,understat
22914,1912,63,10,77,74.5500,38.5600,0.0174,Blocked,Right Foot,Open Play,understat
22915,1912,83,10,79,92.8200,42.8400,0.0918,Off T,Right Foot,Open Play,understat
22916,1912,72,10,89,88.4100,33.1200,0.0358,Off T,Right Foot,Open Play,understat
22917,1913,39,26,5,96.5000,36.3100,0.3891,Saved,Right Foot,Open Play,understat
22918,1913,39,26,19,92.9200,44.9500,0.0556,Blocked,Right Foot,Open Play,understat
22919,1913,7,26,34,93.7700,33.0500,0.0201,Blocked,Head,From Corner,understat
22920,1913,25,26,58,83.6800,42.2300,0.0275,Off T,Right Foot,From Corner,understat
22921,1913,30,26,88,80.0100,37.2600,0.0203,Off T,Left Foot,From Corner,understat
22922,1913,39,26,92,90.9300,40.3200,0.2556,Goal,Right Foot,Open Play,understat
22923,1913,39,26,95,76.9700,27.2700,0.0137,Saved,Right Foot,Open Play,understat
22924,1914,201,1,10,93.4500,32.5700,0.3018,Off T,Right Foot,Open Play,understat
22925,1914,204,1,21,96.9200,16.8600,0.0369,Off T,Right Foot,Open Play,understat
22926,1914,194,1,28,74.6500,26.7900,0.0175,Blocked,Left Foot,Open Play,understat
22927,1914,194,1,28,85.5700,38.9000,0.0563,Blocked,Left Foot,Open Play,understat
