canonical_id,canonical_name,nationality,birth_date,position,id_sofascore,id_understat,id_transfermarkt,id_statsbomb,id_whoscored,created_at
694,Juan Musso,Argentina,1994-05-06,Portero,,,242359,,126278.0,2026-04-21 23:45:44.771660
277,Luiz Júnior,Brasil,2001-01-14,Portero,1066603.0,,712107,,400826.0,2026-04-21 23:45:44.771660
281,Logan Costa,Cabo Verde,2001-04-01,Defensa central,911853.0,8200.0,484988,,389130.0,2026-04-21 23:45:44.771660
307,Nicolas Pépé,Costa de Marfil,1995-05-29,Extremo derecho,593526.0,5656.0,343052,,239872.0,2026-04-21 23:45:44.771660
308,Thierno Barry,Francia,2002-10-21,Delantero centro,1395746.0,12916.0,937941,,537713.0,2026-04-21 23:45:44.771660
306,Tajon Buchanan,Canadá,1999-02-08,Extremo derecho,973290.0,12322.0,638793,,371027.0,2026-04-21 23:45:44.771660
283,Willy Kambwala,Francia,2004-08-25,Defensa central,1136721.0,12275.0,780630,,494120.0,2026-04-21 23:45:44.771660
292,Pau Navarro,España,2005-04-25,Lateral derecho,1525863.0,12914.0,1061336,,537235.0,2026-04-21 23:45:44.771660
47,Enzo Boyomo,Camerún,2001-10-07,Defensa central,,12893.0,541555,,447842.0,2026-04-21 23:45:44.771660
669,Abel Bretones,España,2000-08-21,Lateral izquierdo,1010165.0,12790.0,658115,,461771.0,2026-04-21 23:45:44.771660
684,Bryan Zaragoza,España,2001-09-09,Extremo izquierdo,1084730.0,10143.0,713644,,429273.0,2026-04-21 23:45:44.771660
662,Pablo Valencia,España,2001-03-16,Portero,,,634117,,472208.0,2026-04-21 23:45:44.771660
1,Dinko Horkas,Croacia,1999-03-10,Portero,855922.0,,357770,,367829.0,2026-04-21 23:45:44.771660
15,Viti Rozada,España,1997-09-16,Lateral derecho,1031499.0,12737.0,438971,,448456.0,2026-04-21 23:45:44.771660
19,Stefan Bajcetic,España,2004-10-22,Pivote,1142636.0,10723.0,864799,,444540.0,2026-04-21 23:45:44.771660
32,Manu Fuster,España,1997-10-22,Extremo derecho,,12738.0,511021,,447850.0,2026-04-21 23:45:44.771660
9,Andy Pelmard,Madagascar,2000-03-12,Defensa central,877978.0,6501.0,494236,,351344.0,2026-04-21 23:45:44.771660
336,Pedro Alemañ,España,2002-03-21,Mediocentro,,,699771,,427118.0,2026-04-21 23:45:44.771660
328,Max Aarons,Inglaterra,2000-01-04,Lateral derecho,943645.0,,471690,,362103.0,2026-04-21 23:45:44.771660
59,Antonio Candela,Italia,2000-04-27,Lateral derecho,862464.0,7412.0,392881,,343560.0,2026-04-21 23:45:44.771660
55,Adam Aznou,Marruecos,2006-06-02,Lateral izquierdo,1466124.0,12371.0,938146,,513607.0,2026-04-21 23:45:44.771660
64,Stanko Juric,Croacia,1996-08-16,Pivote,921417.0,12894.0,388125,,401737.0,2026-04-21 23:45:44.771660
62,Florian Grillitsch,Austria,1995-08-07,Pivote,186719.0,116.0,195736,,291937.0,2026-04-21 23:45:44.771660
78,Amath Ndiaye,Senegal,1996-07-16,Extremo derecho,845168.0,,339820,,315298.0,2026-04-21 23:45:44.771660
73,Chuki,España,2004-04-29,Mediocentro ofensivo,,12896.0,926763,,506115.0,2026-04-21 23:45:44.771660
43,Karl Hein,Estonia,2002-04-13,Portero,,,493513,,399501.0,2026-04-21 23:45:44.771660
54,Iago Parente,España,2006-02-25,Defensa central,,,1061260,,559809.0,2026-04-21 23:45:44.771660
494,Gerard Martín,España,2002-02-26,Lateral izquierdo,1094827.0,12821.0,705395,,512879.0,2026-04-21 23:45:44.771660
516,Pau Víctor,España,2001-11-26,Delantero centro,1031567.0,10953.0,707572,,444243.0,2026-04-21 23:45:44.771660
505,Dani Olmo,España,1998-05-07,Mediocentro ofensivo,789071.0,8292.0,293385,,261212.0,2026-04-21 23:45:44.771660
480,Wojciech Szczęsny,Polonia,1990-04-18,Portero,,,44058,,73379.0,2026-04-21 23:45:44.771660
512,Noah Darvich,Alemania,2006-09-25,Extremo derecho,,,897480,,534793.0,2026-04-21 23:45:44.771660
498,Landry Farré,España,2007-01-07,Lateral derecho,,,938148,,559893.0,2026-04-21 23:45:44.771660
163,Kylian Mbappé,Francia,1998-12-20,Delantero centro,826643.0,,342229,,300713.0,2026-04-21 23:45:44.771660
134,Jacobo Ramón,España,2005-01-06,Defensa central,1403348.0,12436.0,948278,,516374.0,2026-04-21 23:45:44.771660
141,Youssef Enríquez,Marruecos,2005-10-07,Lateral izquierdo,,,741289,,519969.0,2026-04-21 23:45:44.771660
164,Endrick,Brasil,2006-07-21,Delantero centro,1174937.0,12884.0,971570,,445649.0,2026-04-21 23:45:44.771660
128,Sergio Mestre,España,2005-02-13,Portero,,,973314,,456502.0,2026-04-21 23:45:44.771660
592,Javi Rodríguez,España,2003-06-27,Defensa central,1526627.0,,1076815,,508331.0,2026-04-21 23:45:44.771660
611,Alfon González,España,1999-05-04,Extremo izquierdo,1468090.0,,357628,,408942.0,2026-04-21 23:45:44.771660
618,Pablo Durán,España,2001-05-25,Delantero centro,1398524.0,,905997,,459082.0,2026-04-21 23:45:44.771660
206,Iker Losada,España,2001-08-01,Mediapunta,992331.0,7825.0,632741,,381583.0,2026-04-21 23:45:44.771660
392,Peque Fernández,España,2002-10-04,Mediapunta,997033.0,,639733,,464952.0,2026-04-21 23:45:44.771660
389,Chidera Ejuke,Nigeria,1998-01-02,Extremo izquierdo,875890.0,8694.0,500067,,337022.0,2026-04-21 23:45:44.771660
393,Isaac Romero,España,2000-05-18,Delantero centro,1018190.0,12305.0,687609,,492362.0,2026-04-21 23:45:44.771660
383,Lulo Dasilva,España,2002-10-04,Mediocentro,,,718581,,475140.0,2026-04-21 23:45:44.771660
377,Djibril Sow,Suiza,1997-02-06,Mediocentro,799054.0,2624.0,212723,,317630.0,2026-04-21 23:45:44.771660
368,Oso,España,2003-07-09,Lateral izquierdo,,,1032280,,511064.0,2026-04-21 23:45:44.771660
1715,Sergio González,España,1997-05-14,Defensa central,377234.0,,435500,,448220.0,2026-04-21 23:45:44.771660
626,Jorge Sáenz,España,1996-11-17,Defensa central,592098.0,7828.0,340339,,381584.0,2026-04-21 23:45:44.771660
651,Duk,Cabo Verde,2000-02-16,Extremo izquierdo,1390389.0,13438.0,535959,,443463.0,2026-04-21 23:45:44.771660
638,Yvan Neyou,Camerún,1997-01-03,Pivote,869931.0,8689.0,469669,,396583.0,2026-04-21 23:45:44.771660
658,Diego García,España,2000-04-18,Delantero centro,1121475.0,,852727,,448226.0,2026-04-21 23:45:44.771660
650,Yan Diomande,Costa de Marfil,2006-11-14,Extremo izquierdo,2087085.0,13561.0,1390649,,557000.0,2026-04-21 23:45:44.771660
621,Juan Soriano,España,1997-08-23,Portero,547246.0,6257.0,251892,,243554.0,2026-04-21 23:45:44.771660
623,Alvin Abajas,España,2003-05-12,Portero,,,1055833,,506036.0,2026-04-21 23:45:44.771660
531,Omar El Hilali,Marruecos,2003-09-12,Lateral derecho,1064026.0,10875.0,822331,,449410.0,2026-04-21 23:45:44.771660
522,Marash Kumbulla,Albania,2000-02-08,Defensa central,893642.0,6324.0,371371,,343778.0,2026-04-21 23:45:44.771660
528,Carlos Romero,España,2001-10-29,Lateral izquierdo,1396048.0,11402.0,709372,,468931.0,2026-04-21 23:45:44.771660
535,Pol Lozano,España,1999-10-06,Mediocentro,826010.0,7916.0,412045,,382157.0,2026-04-21 23:45:44.771660
547,Antoniu Roca,España,2002-09-05,Extremo derecho,1099344.0,12901.0,834744,,506011.0,2026-04-21 23:45:44.771660
